"id","source","timestamp","address.city","address.geo.lat","address.geo.lng","address.street","address.suite","address.zipcode","breed","coat","company.bs","company.catchPhrase","company.name","country","email","id","name","origin","pattern","phone","username","website"
"","catfacts-breeds","2026-03-24T09:59:39.567743800Z","","","","","","","Abyssinian","Short","","","","Ethiopia","","","","","","","",""
"","catfacts-breeds","2026-03-24T09:59:39.568731700Z","","","","","","","Aegean","Semi-long","","","","Greece","","","","","","","",""
"","catfacts-breeds","2026-03-24T09:59:39.568731700Z","","","","","","","American Curl","Short/Long","","","","United States","","","","","","","",""
"","catfacts-breeds","2026-03-24T09:59:39.568731700Z","","","","","","","American Bobtail","Short/Long","","","","United States","","","","","","","",""
"","catfacts-breeds","2026-03-24T09:59:39.568731700Z","","","","","","","American Shorthair","Short","","","","United States","","","","","","","",""
"","jsonplaceholder-users","2026-03-24T10:02:59.514601600Z","Gwenborough","-37.3159","81.1496","Kulas Light","Apt. 556","92998-3874","","","harness real-time e-markets","Multi-layered client-server neural-net","Romaguera-Crona","","Sincere@april.biz","","","","","","",""
"","jsonplaceholder-users","2026-03-24T10:02:59.514601600Z","Wisokyburgh","-43.9509","-34.4618","Victor Plains","Suite 879","90566-7771","","","synergize scalable supply-chains","Proactive didactic contingency","Deckow-Crist","","Shanna@melissa.tv","","","","","","",""
"","jsonplaceholder-users","2026-03-24T10:02:59.514601600Z","McKenziehaven","-68.6102","-47.0653","Douglas Extension","Suite 847","59590-4157","","","e-enable strategic applications","Face to face bifurcated interface","Romaguera-Jacobson","","Nathan@yesenia.net","","","","","","",""
"","jsonplaceholder-users","2026-03-24T10:02:59.514601600Z","South Elvis","29.4572","-164.299","Hoeger Mall","Apt. 692","53919-4257","","","transition cutting-edge web services","Multi-tiered zero tolerance productivity","Robel-Corkery","","Julianne.OConner@kory.org","","","","","","",""
"","jsonplaceholder-users","2026-03-24T10:02:59.514601600Z","Roscoeview","-31.8129","62.5342","Skiles Walks","Suite 351","33263","","","revolutionize end-to-end systems","User-centric fault-tolerant solution","Keebler LLC","","Lucio_Hettinger@annie.ca","","","","","","",""
"","jsonplaceholder-users","2026-03-24T10:02:59.514601600Z","South Christy","-71.4197","71.7478","Norberto Crossing","Apt. 950","23505-1337","","","e-enable innovative applications","Synchronised bottom-line interface","Considine-Lockman","","Karley_Dach@jasper.info","","","","","","",""
"","jsonplaceholder-users","2026-03-24T10:02:59.514601600Z","Howemouth","24.8918","21.8984","Rex Trail","Suite 280","58804-1099","","","generate enterprise e-tailers","Configurable multimedia task-force","Johns Group","","Telly.Hoeger@billy.biz","","","","","","",""
"","jsonplaceholder-users","2026-03-24T10:02:59.514601600Z","Aliyaview","-14.399","-120.7677","Ellsworth Summit","Suite 729","45169","","","e-enable extensible e-tailers","Implemented secondary concept","Abernathy Group","","Sherwood@rosamond.me","","","","","","",""
"","jsonplaceholder-users","2026-03-24T10:02:59.514601600Z","Bartholomebury","24.6463","-168.8889","Dayna Park","Suite 449","76495-3109","","","aggregate real-time technologies","Switchable contextually-based project","Yost and Sons","","Chaim_McDermott@dana.io","","","","","","",""
"","jsonplaceholder-users","2026-03-24T10:02:59.514601600Z","Lebsackbury","-38.2386","57.2232","Kattie Turnpike","Suite 198","31428-2261","","","target end-to-end models","Centralized empowering task-force","Hoeger LLC","","Rey.Padberg@karina.biz","","","","","","",""
"","catfacts-breeds","2026-03-24T10:02:59.658087600Z","","","","","","","Abyssinian","Short","","","","Ethiopia","","","","","","","",""
"","catfacts-breeds","2026-03-24T10:02:59.658087600Z","","","","","","","Aegean","Semi-long","","","","Greece","","","","","","","",""
"","catfacts-breeds","2026-03-24T10:02:59.658087600Z","","","","","","","American Curl","Short/Long","","","","United States","","","","","","","",""
"","catfacts-breeds","2026-03-24T10:02:59.658087600Z","","","","","","","American Bobtail","Short/Long","","","","United States","","","","","","","",""
"","catfacts-breeds","2026-03-24T10:02:59.658087600Z","","","","","","","American Shorthair","Short","","","","United States","","","","","","","",""
"","catfacts-breeds","2026-03-24T10:03:04.918072500Z","","","","","","","Abyssinian","Short","","","","Ethiopia","","","","","","","",""
"","catfacts-breeds","2026-03-24T10:03:04.918072500Z","","","","","","","Aegean","Semi-long","","","","Greece","","","","","","","",""
"","catfacts-breeds","2026-03-24T10:03:04.918072500Z","","","","","","","American Curl","Short/Long","","","","United States","","","","","","","",""
"","catfacts-breeds","2026-03-24T10:03:04.918072500Z","","","","","","","American Bobtail","Short/Long","","","","United States","","","","","","","",""
"","catfacts-breeds","2026-03-24T10:03:04.918072500Z","","","","","","","American Shorthair","Short","","","","United States","","","","","","","",""
"","catfacts-breeds","2026-03-24T10:03:10.129182700Z","","","","","","","Abyssinian","Short","","","","Ethiopia","","","","","","","",""
"","catfacts-breeds","2026-03-24T10:03:10.129182700Z","","","","","","","Aegean","Semi-long","","","","Greece","","","","","","","",""
"","catfacts-breeds","2026-03-24T10:03:10.129182700Z","","","","","","","American Curl","Short/Long","","","","United States","","","","","","","",""
"","catfacts-breeds","2026-03-24T10:03:10.129182700Z","","","","","","","American Bobtail","Short/Long","","","","United States","","","","","","","",""
"","catfacts-breeds","2026-03-24T10:03:10.129182700Z","","","","","","","American Shorthair","Short","","","","United States","","","","","","","",""
"","catfacts-breeds","2026-03-24T10:03:15.347071500Z","","","","","","","Abyssinian","Short","","","","Ethiopia","","","","","","","",""
